300
20
0
198 6 224
110 210 264
187 289 153
299 153 184
198 274 6
201 288 69
239 230 290
284 270 2
121 154 170
45 115 206
235 296 65
235 233 12
48 104 112
269 142 226
281 292 214
171 93 61
164 207 121
42 85 208
156 259 104
38 253 56
178 184 237
298 242 254
182 157 49
281 165 112
37 136 68
278 189 61
106 143 160
88 44 41
154 68 161
207 288 146
142 292 152
204 76 113
234 271 186
220 288 88
138 286 252
154 174 103
206 5 77
168 75 171
271 253 79
136 237 100
166 117 284
265 214 173
140 276 252
241 122 189
178 67 17
147 266 82
291 58 57
82 9 133
155 23 221
93 112 103
163 162 59
210 114 75
146 160 274
62 254 249
218 38 238
2 97 108
254 53 203
267 177 97
6 2 53
69 236 80
271 158 127
133 161 37
282 186 113
105 80 233
50 205 259
229 190 10
159 55 162
148 177 1
45 66 252
147 219 245
153 261 61
145 136 270
147 276 163
137 85 268
209 9 143
190 19 269
282 10 204
5 145 172
118 288 43
277 192 128
171 285 202
250 220 190
256 112 47
223 57 191
120 265 237
130 26 193
83 211 205
299 242 8
237 196 5
53 185 75
291 174 269
166 55 138
124 199 242
236 200 252
61 203 271
3 202 168
217 149 46
192 159 82
149 226 26
34 147 110
151 134 226
50 298 19
297 126 170
92 205 273
194 158 128
180 57 166
279 125 14
91 135 103
20 193 31
81 283 199
153 294 122
138 298 43
162 198 279
2 16 146
104 137 202
280 285 52
47 35 74
160 124 62
10 209 99
135 66 241
283 168 121
13 176 200
200 22 0
127 24 270
144 197 285
253 270 144
66 59 198
50 8 156
149 189 268
174 39 79
82 241 43
148 182 250
203 198 81
238 208 33
225 69 28
243 238 70
155 6 83
293 200 287
56 59 217
219 201 129
26 183 201
38 242 191
12 242 112
180 0 7
94 58 269
108 181 237
300 89 200
43 290 272
291 84 300
250 76 269
78 19 107
287 259 141
89 85 266
157 128 90
6 29 159
142 198 190
190 261 166
176 152 207
193 122 166
218 92 175
147 291 86
244 268 187
290 244 128
252 152 126
214 46 52
69 185 106
142 196 251
119 111 156
47 17 280
11 160 133
154 132 201
78 241 78
203 270 288
207 241 171
243 186 242
263 18 218
246 106 245
129 163 63
108 110 110
47 38 210
119 168 31
73 213 115
87 102 153
99 89 25
17 179 41
287 82 99
231 165 297
210 153 168
69 196 210
128 62 86
115 38 287
218 75 48
15 169 202
255 179 279
267 294 57
102 189 1
279 176 195
212 141 158
5 51 92
46 246 173
288 56 245
143 273 273
271 245 71
32 16 19
238 69 276
232 119 239
264 56 7
252 252 59
240 286 41
182 189 8
295 172 91
88 20 144
277 291 283
185 81 157
4 53 105
75 92 73
246 245 151
25 266 122
196 262 179
271 82 173
222 78 98
108 12 63
204 128 290
289 193 225
173 51 37
73 285 19
193 122 139
132 135 189
163 230 275
75 275 5
16 143 149
18 194 232
279 213 111
112 228 210
173 51 231
181 167 154
102 164 276
80 166 130
62 173 63
105 253 35
290 243 87
295 22 18
240 95 275
84 75 226
184 163 21
33 200 38
42 178 10
227 262 277
158 65 256
230 266 211
45 268 2
162 230 127
220 117 282
211 69 73
142 188 188
192 45 5
46 155 33
172 21 49
226 48 13
180 80 171
151 196 285
147 266 162
67 44 300
213 149 214
117 248 265
133 74 281
256 14 227
233 103 87
298 31 34
7 247 184
25 147 37
154 162 157
183 147 216
253 93 221
288 256 157
3 183 233
116 204 86
265 230 239
96 5 242
208 91 62
0 21 140
292 106 263
60 255 283
231 26 268
92 27 218
57 17 6
13 106 192
229 177 42
263 172 141
136 265 173
72 263 230
154 69 219
15 223 104
258 88 191
159 63 24
239 232 172
222 55 196
222 206 210
40 160 30
75 269 67
